[E 240406 15:38:00 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Client Is Block For Trading. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '880021'}, Response: {'success': False, 'message': 'Client Is Block For Trading', 'errorCode': 'AB1006', 'data': ''}
[E 240406 15:38:00 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Client Is Block For Trading. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '880021'}, Response: {'success': False, 'message': 'Client Is Block For Trading', 'errorCode': 'AB1006', 'data': ''}
[E 240406 15:38:03 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Client Is Block For Trading. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '880021'}, Response: {'success': False, 'message': 'Client Is Block For Trading', 'errorCode': 'AB1006', 'data': ''}
[E 240406 15:38:03 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Client Is Block For Trading. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '880021'}, Response: {'success': False, 'message': 'Client Is Block For Trading', 'errorCode': 'AB1006', 'data': ''}
[E 240406 15:57:06 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid totp. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786s', 'password': '6815', 'totp': '850222'}, Response: {'status': False, 'message': 'Invalid totp', 'errorcode': 'AB1050', 'data': None}
[E 240406 15:59:13 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid totp. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhps', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786s', 'password': '6815', 'totp': '572360'}, Response: {'status': False, 'message': 'Invalid totp', 'errorcode': 'AB1050', 'data': None}
[E 240406 16:06:52 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '429071'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:06:55 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '429071'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:10:06 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '530750'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:10:06 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '530750'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:10:09 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '530750'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:10:09 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '530750'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:10:17 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Invalid apiKey. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp123', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': 'D457786', 'password': '6815', 'totp': '530750'}, Response: {'message': 'Invalid apiKey', 'errorcode': 'AB1053', 'status': False, 'data': None}
[E 240406 16:11:06 smartConnect:243] Error occurred while making a POST request to https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword. Error: Client Is Block For Trading. URL: https://apiconnect.angelbroking.com/rest/auth/angelbroking/user/v1/loginByPassword, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': '', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'clientcode': '', 'password': '', 'totp': '947475'}, Response: {'success': False, 'message': 'Client Is Block For Trading', 'errorCode': 'AB1006', 'data': ''}
[E 240406 16:34:25 smartConnect:243] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:34:28 smartConnect:243] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:34:32 smartConnect:218] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: HTTPSConnectionPool(host='apiconnect.angelbroking.com', port=443): Max retries exceeded with url: /rest/secure/angelbroking/portfolio/v1/getHolding?%7B%7D (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fc06c0f1510>, 'Connection to apiconnect.angelbroking.com timed out. (connect timeout=7)'))
[E 240406 16:34:47 smartConnect:243] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:34:50 smartConnect:243] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:36:00 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:36:03 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:39:32 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:39:35 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/portfolio/v1/getHolding, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:40:10 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getProfile. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getProfile, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'refreshToken': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkQ0NTc3ODYiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSklVelV4TWlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKemRXSWlPaUpFTkRVM056ZzJJaXdpWlhod0lqb3hOekV5TkRrd01qWXlMQ0pwWVhRaU9qRTNNVEkwTURFM05ETXNJbXAwYVNJNklqUXlNbVZsTm1FM0xXTTNaVGN0TkRJMk15MWhPV1EzTFRWa016Y3pabVEwTmpFMFpTSXNJbTl0Ym1WdFlXNWhaMlZ5YVdRaU9qY3NJbk52ZFhKalpXbGtJam9pTXlJc0luVnpaWEpmZEhsd1pTSTZJbU5zYVdWdWRDSXNJblJ2YTJWdVgzUjVjR1VpT2lKMGNtRmtaVjloWTJObGMzTmZkRzlyWlc0aUxDSm5iVjlwWkNJNk55d2ljMjkxY21ObElqb2lNeUlzSW1SbGRtbGpaVjlwWkNJNklqSTJNRFZtTUROakxUWmxZak10TXprek5pMWlPR0ZtTFRVeE5UUXhZVGc1WkRVNVppSXNJbUZqZENJNmUzMTkub1pkeGJRWC1RR1NsMG1HamRPVU9kQTNIdVdLWkxGVUxMRC1rdl9hRVZLeUNYOTk5NURkeDBVWkVOdkVMQ3VXdVo1eDJYN2dFMlNiR1FNV0JGTFpGTHciLCJBUEktS0VZIjoiUlVWZHh2aHAiLCJpYXQiOjE3MTI0MDE4MDMsImV4cCI6MTcxMjQ5MDI2Mn0.M6NySxUUIJwqUK2sbuw6gM5RK23ddYlepUAyJi3loyeCSWZ_JFZA-5tmyn36rWPGabUMkMFg1cBJsvkGoZIeJA'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
[E 240406 16:40:10 smartConnect:244] Error occurred while making a GET request to https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getProfile. Error: Invalid Token. URL: https://apiconnect.angelbroking.com/rest/secure/angelbroking/user/v1/getProfile, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'f9:67:a2:6c:21:f5', 'Accept': 'application/json', 'X-PrivateKey': 'RUVdxvhp', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'refreshToken': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkQ0NTc3ODYiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSklVelV4TWlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKemRXSWlPaUpFTkRVM056ZzJJaXdpWlhod0lqb3hOekV5TkRrd01qWXlMQ0pwWVhRaU9qRTNNVEkwTURFM05ETXNJbXAwYVNJNklqUXlNbVZsTm1FM0xXTTNaVGN0TkRJMk15MWhPV1EzTFRWa016Y3pabVEwTmpFMFpTSXNJbTl0Ym1WdFlXNWhaMlZ5YVdRaU9qY3NJbk52ZFhKalpXbGtJam9pTXlJc0luVnpaWEpmZEhsd1pTSTZJbU5zYVdWdWRDSXNJblJ2YTJWdVgzUjVjR1VpT2lKMGNtRmtaVjloWTJObGMzTmZkRzlyWlc0aUxDSm5iVjlwWkNJNk55d2ljMjkxY21ObElqb2lNeUlzSW1SbGRtbGpaVjlwWkNJNklqSTJNRFZtTUROakxUWmxZak10TXprek5pMWlPR0ZtTFRVeE5UUXhZVGc1WkRVNVppSXNJbUZqZENJNmUzMTkub1pkeGJRWC1RR1NsMG1HamRPVU9kQTNIdVdLWkxGVUxMRC1rdl9hRVZLeUNYOTk5NURkeDBVWkVOdkVMQ3VXdVo1eDJYN2dFMlNiR1FNV0JGTFpGTHciLCJBUEktS0VZIjoiUlVWZHh2aHAiLCJpYXQiOjE3MTI0MDE4MDMsImV4cCI6MTcxMjQ5MDI2Mn0.M6NySxUUIJwqUK2sbuw6gM5RK23ddYlepUAyJi3loyeCSWZ_JFZA-5tmyn36rWPGabUMkMFg1cBJsvkGoZIeJA'}, Response: {'success': False, 'message': 'Invalid Token', 'errorCode': 'AG8001', 'data': ''}
